"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 02:19:55 UTC 2025","Sun Mar 16 02:19:56 UTC 2025","468","chromium","floatingMenu/floatingMenu.spec.ts","Floating Menu Page","","","Меню видиме при завантаженні сторінки",""
"passed","Sun Mar 16 02:19:27 UTC 2025","Sun Mar 16 02:19:28 UTC 2025","1254","chromium","entryAd/entryAd.spec.ts","Entry Ad Page","","","should close modal window",""
"passed","Sun Mar 16 02:20:23 UTC 2025","Sun Mar 16 02:20:23 UTC 2025","514","chromium","statusCodes/statusCodes.spec.ts","Status Codes Page","","","Сторінка 404 повертає правильний опис",""
"passed","Sun Mar 16 02:18:47 UTC 2025","Sun Mar 16 02:18:47 UTC 2025","415","chromium","dropdown/dropdown.spec.ts","Dropdown Page","","","should select Option 2 from dropdown",""
"passed","Sun Mar 16 02:18:39 UTC 2025","Sun Mar 16 02:18:39 UTC 2025","405","chromium","checkBoxes/сheckBoxes.spec.ts","CheckBoxes Page","","","should display correct number of checkboxes",""
"passed","Sun Mar 16 02:18:41 UTC 2025","Sun Mar 16 02:18:41 UTC 2025","417","chromium","digestAuth/digestAuth.spec.ts","Digest Auth Page","","","should authenticate successfully with valid credentials",""
"passed","Sun Mar 16 02:19:14 UTC 2025","Sun Mar 16 02:19:20 UTC 2025","5768","chromium","dynamicLoading/dynamicLoading.spec.ts","Dynamic Loading Page","","","should load hidden element in Example 1",""
"passed","Sun Mar 16 02:20:07 UTC 2025","Sun Mar 16 02:20:10 UTC 2025","3545","chromium","infiniteScroll/infiniteScroll.spec.ts","Infinite Scroll Page","","","Завантажуються нові параграфи при прокручуванні",""
"passed","Sun Mar 16 02:19:20 UTC 2025","Sun Mar 16 02:19:25 UTC 2025","5770","chromium","dynamicLoading/dynamicLoading.spec.ts","Dynamic Loading Page","","","should render element after loading in Example 2",""
"passed","Sun Mar 16 02:18:28 UTC 2025","Sun Mar 16 02:18:29 UTC 2025","897","chromium","abTest/abTest.spec.ts","A/B Testing Page","","","Перевірка заголовка при оновленні сторінки",""
"passed","Sun Mar 16 02:20:00 UTC 2025","Sun Mar 16 02:20:00 UTC 2025","338","chromium","frames/frames.spec.ts","Frames Page","","","Повинен перевірити текст у Left Frame",""
"passed","Sun Mar 16 02:20:14 UTC 2025","Sun Mar 16 02:20:15 UTC 2025","428","chromium","javascriptAlerts/javascriptAlerts.spec.ts","JavaScript Alerts","","","Prompt: Користувач закриває prompt без вводу",""
"passed","Sun Mar 16 02:20:11 UTC 2025","Sun Mar 16 02:20:11 UTC 2025","400","chromium","inputs/inputs.spec.ts","Inputs Page","","","Можна ввести десяткове число",""
"passed","Sun Mar 16 02:20:22 UTC 2025","Sun Mar 16 02:20:22 UTC 2025","528","chromium","statusCodes/statusCodes.spec.ts","Status Codes Page","","","Сторінка 200 повертає правильний опис",""
"passed","Sun Mar 16 02:19:58 UTC 2025","Sun Mar 16 02:19:59 UTC 2025","743","chromium","formAuth/formAuth.spec.ts","Form Authentication Page","","","Повинен розлогінитися після натискання Logout",""
"passed","Sun Mar 16 02:18:40 UTC 2025","Sun Mar 16 02:18:40 UTC 2025","459","chromium","checkBoxes/сheckBoxes.spec.ts","CheckBoxes Page","","","should uncheck second checkbox if checked",""
"passed","Sun Mar 16 02:18:46 UTC 2025","Sun Mar 16 02:18:47 UTC 2025","517","chromium","DragAndDrop/DragAndDrop.spec.ts","Drag And Drop Page","","","should drag Box A and drop into Box B",""
"passed","Sun Mar 16 02:20:06 UTC 2025","Sun Mar 16 02:20:06 UTC 2025","451","chromium","hovers/hovers.spec.ts","Hovers Page","","","Навели на другу картинку, з'явився підпис та кнопка",""
"passed","Sun Mar 16 02:20:00 UTC 2025","Sun Mar 16 02:20:01 UTC 2025","768","chromium","frames/frames.spec.ts","Frames Page","","","Повинен перевірити дефолтний текст в iFrame Editor",""
"passed","Sun Mar 16 02:19:51 UTC 2025","Sun Mar 16 02:19:52 UTC 2025","1036","chromium","exitIntent/exitIntent.spec.ts","Exit Intent Page","","","Модальне зʼявляється при спробі покинути сторінку",""
"failed","Sun Mar 16 02:18:37 UTC 2025","Sun Mar 16 02:18:37 UTC 2025","374","chromium","basicAuth/basicAuth.spec.ts","Basic Auth Page","","","should not authenticate with invalid credentials",""
"passed","Sun Mar 16 02:20:16 UTC 2025","Sun Mar 16 02:20:17 UTC 2025","337","chromium","nestedFrames/nestedFrames.spec.ts","Nested Frames","","","Перевірка тексту у RIGHT фреймі",""
"passed","Sun Mar 16 02:19:57 UTC 2025","Sun Mar 16 02:19:57 UTC 2025","624","chromium","formAuth/formAuth.spec.ts","Form Authentication Page","","","Повинен залогінитися з валідними даними",""
"passed","Sun Mar 16 02:20:05 UTC 2025","Sun Mar 16 02:20:06 UTC 2025","436","chromium","hovers/hovers.spec.ts","Hovers Page","","","Навели на першу картинку, з'явився підпис та кнопка",""
"passed","Sun Mar 16 02:20:14 UTC 2025","Sun Mar 16 02:20:14 UTC 2025","433","chromium","javascriptAlerts/javascriptAlerts.spec.ts","JavaScript Alerts","","","Confirm: Користувач відхиляє підтвердження",""
"failed","Sun Mar 16 02:18:43 UTC 2025","Sun Mar 16 02:18:44 UTC 2025","365","chromium","digestAuth/digestAuth.spec.ts","Digest Auth Page","","","should not authenticate with invalid credentials",""
"passed","Sun Mar 16 02:18:48 UTC 2025","Sun Mar 16 02:18:48 UTC 2025","487","chromium","dynamicContent/dynamicContent.spec.ts","Dynamic Content Page","","","should change content after reload",""
"passed","Sun Mar 16 02:19:54 UTC 2025","Sun Mar 16 02:19:55 UTC 2025","545","chromium","FileUpload/FileUpload.spec.ts","File Upload Page","","","Повинен завантажити файл і відобразити його імʼя",""
"passed","Sun Mar 16 02:20:16 UTC 2025","Sun Mar 16 02:20:16 UTC 2025","357","chromium","nestedFrames/nestedFrames.spec.ts","Nested Frames","","","Перевірка тексту у MIDDLE фреймі",""
"passed","Sun Mar 16 02:18:39 UTC 2025","Sun Mar 16 02:18:40 UTC 2025","469","chromium","checkBoxes/сheckBoxes.spec.ts","CheckBoxes Page","","","should check first checkbox if not checked",""
